date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:12	945/945	---M--	200	added ('OK')	image/png	etag:%223b1-5b376ace05092%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/minus.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/minus.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:12	1045/1045	---M--	200	added ('OK')	image/png	etag:%22415-5b376acd563a8%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/microsoft.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/microsoft.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:12	386648/386648	---M--	200	added ('OK')	image/png	etag:%225e658-5b376acb0e3c6%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/background-2.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/background-2.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:13	128/128	---M--	200	added ('OK')	image/png	etag:%2280-5b376ac166856%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bba58587_v.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bba58587_v.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:13	293/293	---M--	200	added ('OK')	image/png	etag:%22125-5b376ac53236f%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbe46967_v.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbe46967_v.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:14	364/364	---M--	200	added ('OK')	image/png	etag:%2216c-5b376ac3ed03c%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbdae210_v.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbdae210_v.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:14	349/349	---M--	200	added ('OK')	image/png	etag:%2215d-5b376ac195659%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbae3ed9_v.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbae3ed9_v.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:14	1776/1776	---M--	200	added ('OK')	image/gif	etag:%226f0-5b376ac066a88%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb9bf55a_v.gif	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb9bf55a_v.gif	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:15	102/102	---M--	200	added ('OK')	image/gif	etag:%2266-5b376ac29e0c8%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbb6fc7d_v.gif	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbb6fc7d_v.gif	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:15	1506/1506	---M--	200	added ('OK')	image/gif	etag:%225e2-5b376ac2c328b%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbbf25aa_v.gif	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bbbf25aa_v.gif	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
